carnet,nombre,carrera,departamento,promedio
EST027174,Estudiante 27174,Ingeniería en Sistemas,San Miguel,6.57
EST027175,Estudiante 27175,Arquitectura,San Miguel,7.38
EST027176,Estudiante 27176,Administración,San Salvador,5.93
EST027177,Estudiante 27177,Arquitectura,Santa Ana,5.83
EST027178,Estudiante 27178,Arquitectura,La Libertad,6.49
EST027179,Estudiante 27179,Ingeniería Industrial,La Libertad,6.86
EST027180,Estudiante 27180,Contaduría,San Salvador,8.51
EST027181,Estudiante 27181,Ingeniería Industrial,Sonsonate,8.7
EST027182,Estudiante 27182,Arquitectura,Sonsonate,6.21
EST027183,Estudiante 27183,Administración,San Miguel,9.02
EST027184,Estudiante 27184,Ingeniería Industrial,Sonsonate,9.02
EST027185,Estudiante 27185,Arquitectura,La Libertad,6.81
EST027186,Estudiante 27186,Contaduría,San Salvador,5.13
EST027187,Estudiante 27187,Contaduría,La Libertad,8.88
EST027188,Estudiante 27188,Administración,San Miguel,6.13
EST027189,Estudiante 27189,Contaduría,Sonsonate,8.32
EST027190,Estudiante 27190,Arquitectura,Santa Ana,7.17
EST027191,Estudiante 27191,Ingeniería en Sistemas,Santa Ana,8.63
EST027192,Estudiante 27192,Ingeniería Industrial,San Miguel,7.57
EST027193,Estudiante 27193,Arquitectura,San Salvador,7.73
EST027194,Estudiante 27194,Administración,San Salvador,7.77
EST027195,Estudiante 27195,Administración,San Salvador,9.33
EST027196,Estudiante 27196,Arquitectura,San Miguel,5.9
EST027197,Estudiante 27197,Contaduría,San Salvador,8.08
EST027198,Estudiante 27198,Administración,San Salvador,8.96
EST027199,Estudiante 27199,Administración,Santa Ana,9.41
EST027200,Estudiante 27200,Administración,San Salvador,7.93
EST027201,Estudiante 27201,Ingeniería Industrial,Sonsonate,6.6
EST027202,Estudiante 27202,Ingeniería en Sistemas,San Miguel,6.5
EST027203,Estudiante 27203,Arquitectura,San Salvador,7.79
EST027204,Estudiante 27204,Administración,La Libertad,5.31
EST027205,Estudiante 27205,Contaduría,San Miguel,5.63
EST027206,Estudiante 27206,Ingeniería Industrial,La Libertad,8.35
EST027207,Estudiante 27207,Arquitectura,Sonsonate,5.43
EST027208,Estudiante 27208,Administración,San Salvador,5.26
EST027209,Estudiante 27209,Ingeniería en Sistemas,San Salvador,7.65
EST027210,Estudiante 27210,Contaduría,San Salvador,7.08
EST027211,Estudiante 27211,Ingeniería Industrial,Sonsonate,5.64
EST027212,Estudiante 27212,Ingeniería en Sistemas,San Salvador,8.35
EST027213,Estudiante 27213,Contaduría,San Miguel,7.77
EST027214,Estudiante 27214,Ingeniería Industrial,San Miguel,6.8
EST027215,Estudiante 27215,Administración,Santa Ana,5.72
EST027216,Estudiante 27216,Ingeniería en Sistemas,Santa Ana,8.01
EST027217,Estudiante 27217,Ingeniería en Sistemas,San Salvador,5.48
EST027218,Estudiante 27218,Contaduría,Santa Ana,5.87
EST027219,Estudiante 27219,Ingeniería en Sistemas,San Miguel,7.15
EST027220,Estudiante 27220,Administración,San Miguel,5.01
EST027221,Estudiante 27221,Ingeniería Industrial,La Libertad,7.4
EST027222,Estudiante 27222,Ingeniería Industrial,San Miguel,5.68
EST027223,Estudiante 27223,Ingeniería en Sistemas,Santa Ana,9.5
EST027224,Estudiante 27224,Ingeniería Industrial,San Miguel,5.71
EST027225,Estudiante 27225,Contaduría,La Libertad,5.14
EST027226,Estudiante 27226,Ingeniería en Sistemas,La Libertad,8.51
EST027227,Estudiante 27227,Ingeniería Industrial,La Libertad,7.1
EST027228,Estudiante 27228,Contaduría,Sonsonate,6.1
EST027229,Estudiante 27229,Arquitectura,Santa Ana,9.63
EST027230,Estudiante 27230,Ingeniería en Sistemas,Sonsonate,7.49
EST027231,Estudiante 27231,Administración,Sonsonate,9.16
EST027232,Estudiante 27232,Ingeniería Industrial,San Miguel,9.13
EST027233,Estudiante 27233,Arquitectura,Santa Ana,6.93
EST027234,Estudiante 27234,Administración,Sonsonate,6.74
EST027235,Estudiante 27235,Ingeniería en Sistemas,Sonsonate,7.06
EST027236,Estudiante 27236,Contaduría,San Miguel,6.41
EST027237,Estudiante 27237,Administración,La Libertad,8.57
EST027238,Estudiante 27238,Arquitectura,Sonsonate,6.21
EST027239,Estudiante 27239,Contaduría,Santa Ana,9.64
EST027240,Estudiante 27240,Arquitectura,Santa Ana,9.21
EST027241,Estudiante 27241,Administración,San Miguel,7.15
EST027242,Estudiante 27242,Ingeniería en Sistemas,San Miguel,5.88
EST027243,Estudiante 27243,Contaduría,San Miguel,6.89
EST027244,Estudiante 27244,Ingeniería en Sistemas,Santa Ana,9.63
EST027245,Estudiante 27245,Contaduría,Santa Ana,8.81
EST027246,Estudiante 27246,Arquitectura,Santa Ana,5.26
EST027247,Estudiante 27247,Ingeniería en Sistemas,Sonsonate,7.22
EST027248,Estudiante 27248,Ingeniería Industrial,San Miguel,7.92
EST027249,Estudiante 27249,Administración,San Miguel,7.83
EST027250,Estudiante 27250,Arquitectura,Sonsonate,5.27
EST027251,Estudiante 27251,Contaduría,La Libertad,9.42
EST027252,Estudiante 27252,Contaduría,San Miguel,7.23
EST027253,Estudiante 27253,Ingeniería Industrial,San Salvador,5.55
EST027254,Estudiante 27254,Contaduría,Sonsonate,7.77
EST027255,Estudiante 27255,Arquitectura,Sonsonate,7.81
EST027256,Estudiante 27256,Ingeniería Industrial,La Libertad,9.95
EST027257,Estudiante 27257,Administración,Sonsonate,7.81
EST027258,Estudiante 27258,Ingeniería en Sistemas,La Libertad,6.75
EST027259,Estudiante 27259,Contaduría,Santa Ana,7.73
EST027260,Estudiante 27260,Contaduría,Santa Ana,9.24
EST027261,Estudiante 27261,Ingeniería Industrial,San Miguel,8.58
EST027262,Estudiante 27262,Ingeniería Industrial,Sonsonate,6.62
EST027263,Estudiante 27263,Ingeniería en Sistemas,Sonsonate,8.98
EST027264,Estudiante 27264,Ingeniería en Sistemas,Santa Ana,6.24
EST027265,Estudiante 27265,Administración,Santa Ana,7.54
EST027266,Estudiante 27266,Contaduría,Sonsonate,5.91
EST027267,Estudiante 27267,Arquitectura,San Salvador,9.28
EST027268,Estudiante 27268,Administración,San Salvador,6.98
EST027269,Estudiante 27269,Ingeniería en Sistemas,Santa Ana,5.48
EST027270,Estudiante 27270,Administración,Santa Ana,9.81
EST027271,Estudiante 27271,Administración,Santa Ana,8.17
EST027272,Estudiante 27272,Arquitectura,San Salvador,8.31
EST027273,Estudiante 27273,Contaduría,San Salvador,7.97
EST027274,Estudiante 27274,Administración,San Miguel,5.5
EST027275,Estudiante 27275,Ingeniería en Sistemas,San Miguel,7.22
EST027276,Estudiante 27276,Arquitectura,San Miguel,6.43
EST027277,Estudiante 27277,Ingeniería Industrial,San Salvador,7.38
EST027278,Estudiante 27278,Contaduría,La Libertad,9.97
EST027279,Estudiante 27279,Ingeniería Industrial,San Salvador,7.88
EST027280,Estudiante 27280,Ingeniería en Sistemas,La Libertad,9.21
EST027281,Estudiante 27281,Contaduría,San Miguel,6.23
EST027282,Estudiante 27282,Ingeniería Industrial,San Salvador,8.46
EST027283,Estudiante 27283,Arquitectura,San Salvador,6.9
EST027284,Estudiante 27284,Ingeniería Industrial,San Salvador,6.62
EST027285,Estudiante 27285,Administración,San Salvador,9.49
EST027286,Estudiante 27286,Arquitectura,Santa Ana,5.11
EST027287,Estudiante 27287,Ingeniería en Sistemas,San Salvador,7.64
EST027288,Estudiante 27288,Arquitectura,Santa Ana,9.45
EST027289,Estudiante 27289,Administración,San Miguel,7.33
EST027290,Estudiante 27290,Arquitectura,San Miguel,9.09
EST027291,Estudiante 27291,Ingeniería Industrial,San Salvador,9.53
EST027292,Estudiante 27292,Contaduría,San Salvador,8.0
EST027293,Estudiante 27293,Contaduría,Santa Ana,8.24
EST027294,Estudiante 27294,Ingeniería Industrial,La Libertad,9.91
EST027295,Estudiante 27295,Ingeniería Industrial,San Salvador,9.99
EST027296,Estudiante 27296,Ingeniería Industrial,San Miguel,9.57
EST027297,Estudiante 27297,Administración,La Libertad,9.41
EST027298,Estudiante 27298,Contaduría,San Miguel,7.71
EST027299,Estudiante 27299,Arquitectura,San Salvador,7.11
EST027300,Estudiante 27300,Contaduría,San Salvador,6.19
EST027301,Estudiante 27301,Arquitectura,Sonsonate,9.94
EST027302,Estudiante 27302,Administración,San Salvador,8.18
EST027303,Estudiante 27303,Contaduría,San Salvador,5.29
EST027304,Estudiante 27304,Ingeniería Industrial,San Salvador,7.96
EST027305,Estudiante 27305,Arquitectura,San Salvador,5.05
EST027306,Estudiante 27306,Contaduría,San Miguel,8.45
EST027307,Estudiante 27307,Administración,La Libertad,6.85
EST027308,Estudiante 27308,Arquitectura,Sonsonate,5.68
EST027309,Estudiante 27309,Administración,La Libertad,7.94
EST027310,Estudiante 27310,Ingeniería Industrial,San Miguel,8.04
EST027311,Estudiante 27311,Ingeniería Industrial,Santa Ana,7.02
EST027312,Estudiante 27312,Administración,La Libertad,9.38
EST027313,Estudiante 27313,Arquitectura,San Miguel,7.99
EST027314,Estudiante 27314,Administración,La Libertad,5.17
EST027315,Estudiante 27315,Arquitectura,Santa Ana,9.42
EST027316,Estudiante 27316,Ingeniería Industrial,San Miguel,9.87
EST027317,Estudiante 27317,Contaduría,San Miguel,7.44
EST027318,Estudiante 27318,Ingeniería en Sistemas,San Miguel,7.55
EST027319,Estudiante 27319,Arquitectura,Santa Ana,5.18
EST027320,Estudiante 27320,Ingeniería Industrial,Santa Ana,5.14
EST027321,Estudiante 27321,Arquitectura,Sonsonate,9.87
EST027322,Estudiante 27322,Ingeniería en Sistemas,Santa Ana,7.63
EST027323,Estudiante 27323,Administración,Santa Ana,8.44
EST027324,Estudiante 27324,Contaduría,Sonsonate,7.21
EST027325,Estudiante 27325,Ingeniería en Sistemas,Santa Ana,7.76
EST027326,Estudiante 27326,Arquitectura,Santa Ana,9.17
EST027327,Estudiante 27327,Arquitectura,Sonsonate,7.14
EST027328,Estudiante 27328,Contaduría,La Libertad,7.35
EST027329,Estudiante 27329,Ingeniería Industrial,San Salvador,8.79
EST027330,Estudiante 27330,Ingeniería en Sistemas,La Libertad,8.46
EST027331,Estudiante 27331,Arquitectura,Sonsonate,6.08
EST027332,Estudiante 27332,Ingeniería en Sistemas,La Libertad,5.92
EST027333,Estudiante 27333,Contaduría,La Libertad,5.52
EST027334,Estudiante 27334,Contaduría,San Miguel,6.76
EST027335,Estudiante 27335,Arquitectura,Santa Ana,5.34
EST027336,Estudiante 27336,Arquitectura,La Libertad,5.92
EST027337,Estudiante 27337,Ingeniería Industrial,San Salvador,8.42
EST027338,Estudiante 27338,Administración,San Miguel,6.4
EST027339,Estudiante 27339,Ingeniería en Sistemas,San Salvador,8.08
EST027340,Estudiante 27340,Ingeniería Industrial,Santa Ana,8.82
EST027341,Estudiante 27341,Ingeniería Industrial,San Miguel,8.29
EST027342,Estudiante 27342,Arquitectura,San Miguel,5.87
EST027343,Estudiante 27343,Administración,La Libertad,8.85
EST027344,Estudiante 27344,Contaduría,San Miguel,8.68
EST027345,Estudiante 27345,Contaduría,Santa Ana,5.77
EST027346,Estudiante 27346,Administración,La Libertad,7.56
EST027347,Estudiante 27347,Arquitectura,Sonsonate,9.12
EST027348,Estudiante 27348,Administración,La Libertad,6.29
EST027349,Estudiante 27349,Arquitectura,Sonsonate,8.06
EST027350,Estudiante 27350,Contaduría,La Libertad,8.75
EST027351,Estudiante 27351,Contaduría,Sonsonate,9.36
EST027352,Estudiante 27352,Ingeniería Industrial,San Salvador,5.23
EST027353,Estudiante 27353,Contaduría,Santa Ana,7.4
EST027354,Estudiante 27354,Arquitectura,San Salvador,5.17
EST027355,Estudiante 27355,Contaduría,La Libertad,5.86
EST027356,Estudiante 27356,Arquitectura,San Miguel,8.65
EST027357,Estudiante 27357,Ingeniería en Sistemas,San Salvador,9.45
EST027358,Estudiante 27358,Ingeniería en Sistemas,San Miguel,7.29
EST027359,Estudiante 27359,Administración,Sonsonate,6.74
EST027360,Estudiante 27360,Arquitectura,San Miguel,6.42
EST027361,Estudiante 27361,Administración,Santa Ana,6.44
EST027362,Estudiante 27362,Arquitectura,San Salvador,5.26
EST027363,Estudiante 27363,Arquitectura,Sonsonate,7.45
EST027364,Estudiante 27364,Arquitectura,San Salvador,5.56
EST027365,Estudiante 27365,Ingeniería en Sistemas,Sonsonate,7.32
EST027366,Estudiante 27366,Administración,Sonsonate,9.65
EST027367,Estudiante 27367,Administración,Sonsonate,8.99
EST027368,Estudiante 27368,Contaduría,Sonsonate,5.95
EST027369,Estudiante 27369,Ingeniería en Sistemas,La Libertad,6.12
EST027370,Estudiante 27370,Administración,Sonsonate,7.54
EST027371,Estudiante 27371,Contaduría,Sonsonate,5.31
EST027372,Estudiante 27372,Ingeniería en Sistemas,San Miguel,7.25
EST027373,Estudiante 27373,Contaduría,Santa Ana,6.6
EST027374,Estudiante 27374,Contaduría,Sonsonate,5.28
EST027375,Estudiante 27375,Ingeniería Industrial,Santa Ana,9.01
EST027376,Estudiante 27376,Ingeniería en Sistemas,La Libertad,7.77
EST027377,Estudiante 27377,Ingeniería en Sistemas,Santa Ana,9.78
EST027378,Estudiante 27378,Contaduría,Santa Ana,9.98
EST027379,Estudiante 27379,Ingeniería Industrial,Santa Ana,9.41
EST027380,Estudiante 27380,Administración,Sonsonate,6.66
EST027381,Estudiante 27381,Arquitectura,San Miguel,6.97
EST027382,Estudiante 27382,Administración,San Miguel,7.39
EST027383,Estudiante 27383,Contaduría,Santa Ana,7.62
EST027384,Estudiante 27384,Contaduría,La Libertad,5.21
EST027385,Estudiante 27385,Arquitectura,Santa Ana,7.37
EST027386,Estudiante 27386,Arquitectura,Sonsonate,5.98
EST027387,Estudiante 27387,Arquitectura,La Libertad,6.26
EST027388,Estudiante 27388,Arquitectura,San Miguel,6.32
EST027389,Estudiante 27389,Arquitectura,Santa Ana,9.54
EST027390,Estudiante 27390,Ingeniería en Sistemas,Sonsonate,7.42
EST027391,Estudiante 27391,Ingeniería en Sistemas,La Libertad,7.58
EST027392,Estudiante 27392,Ingeniería Industrial,Sonsonate,6.41
EST027393,Estudiante 27393,Ingeniería Industrial,San Salvador,6.28
EST027394,Estudiante 27394,Ingeniería Industrial,Sonsonate,5.37
EST027395,Estudiante 27395,Administración,San Salvador,6.9
EST027396,Estudiante 27396,Contaduría,Santa Ana,8.83
EST027397,Estudiante 27397,Contaduría,San Miguel,5.61
EST027398,Estudiante 27398,Ingeniería en Sistemas,Sonsonate,6.02
EST027399,Estudiante 27399,Arquitectura,Sonsonate,8.65
EST027400,Estudiante 27400,Administración,San Salvador,8.87
EST027401,Estudiante 27401,Administración,La Libertad,9.25
EST027402,Estudiante 27402,Ingeniería en Sistemas,San Miguel,5.97
EST027403,Estudiante 27403,Contaduría,San Salvador,6.1
EST027404,Estudiante 27404,Arquitectura,Santa Ana,8.41
EST027405,Estudiante 27405,Contaduría,San Miguel,9.67
EST027406,Estudiante 27406,Arquitectura,San Miguel,8.5
EST027407,Estudiante 27407,Ingeniería en Sistemas,Sonsonate,5.5
EST027408,Estudiante 27408,Arquitectura,Santa Ana,8.18
EST027409,Estudiante 27409,Administración,San Miguel,6.42
EST027410,Estudiante 27410,Arquitectura,San Salvador,7.92
EST027411,Estudiante 27411,Administración,Santa Ana,8.82
EST027412,Estudiante 27412,Ingeniería Industrial,San Salvador,7.02
EST027413,Estudiante 27413,Ingeniería Industrial,San Salvador,8.24
EST027414,Estudiante 27414,Arquitectura,Santa Ana,7.15
EST027415,Estudiante 27415,Contaduría,Sonsonate,9.81
EST027416,Estudiante 27416,Arquitectura,Santa Ana,5.37
EST027417,Estudiante 27417,Arquitectura,San Miguel,6.79
EST027418,Estudiante 27418,Arquitectura,San Salvador,7.37
EST027419,Estudiante 27419,Administración,La Libertad,8.17
EST027420,Estudiante 27420,Administración,Santa Ana,9.0
EST027421,Estudiante 27421,Ingeniería Industrial,San Salvador,5.53
EST027422,Estudiante 27422,Administración,La Libertad,9.47
EST027423,Estudiante 27423,Administración,San Salvador,6.22
EST027424,Estudiante 27424,Arquitectura,San Salvador,6.8
EST027425,Estudiante 27425,Ingeniería en Sistemas,San Miguel,5.32
EST027426,Estudiante 27426,Administración,San Miguel,9.94
EST027427,Estudiante 27427,Ingeniería Industrial,San Miguel,6.49
EST027428,Estudiante 27428,Arquitectura,San Salvador,8.72
EST027429,Estudiante 27429,Ingeniería en Sistemas,Sonsonate,6.82
EST027430,Estudiante 27430,Contaduría,San Miguel,8.15
EST027431,Estudiante 27431,Ingeniería en Sistemas,San Salvador,5.68
EST027432,Estudiante 27432,Ingeniería Industrial,Santa Ana,5.99
EST027433,Estudiante 27433,Arquitectura,San Miguel,8.5
EST027434,Estudiante 27434,Ingeniería Industrial,La Libertad,9.61
EST027435,Estudiante 27435,Contaduría,San Miguel,9.18
EST027436,Estudiante 27436,Ingeniería en Sistemas,La Libertad,8.6
EST027437,Estudiante 27437,Arquitectura,San Salvador,6.42
EST027438,Estudiante 27438,Administración,La Libertad,7.98
EST027439,Estudiante 27439,Administración,La Libertad,8.74
EST027440,Estudiante 27440,Administración,Sonsonate,7.56
EST027441,Estudiante 27441,Ingeniería Industrial,La Libertad,7.26
EST027442,Estudiante 27442,Ingeniería Industrial,Santa Ana,8.52
EST027443,Estudiante 27443,Ingeniería en Sistemas,La Libertad,5.78
EST027444,Estudiante 27444,Contaduría,San Miguel,6.88
EST027445,Estudiante 27445,Ingeniería en Sistemas,San Miguel,6.96
EST027446,Estudiante 27446,Arquitectura,Sonsonate,8.69
EST027447,Estudiante 27447,Contaduría,Santa Ana,7.99
EST027448,Estudiante 27448,Ingeniería Industrial,Sonsonate,5.94
EST027449,Estudiante 27449,Ingeniería en Sistemas,Santa Ana,9.78
EST027450,Estudiante 27450,Ingeniería Industrial,La Libertad,5.17
EST027451,Estudiante 27451,Arquitectura,San Miguel,8.54
EST027452,Estudiante 27452,Arquitectura,San Miguel,6.47
EST027453,Estudiante 27453,Contaduría,La Libertad,7.65
EST027454,Estudiante 27454,Administración,San Miguel,8.65
EST027455,Estudiante 27455,Arquitectura,Santa Ana,7.02
EST027456,Estudiante 27456,Arquitectura,Santa Ana,5.46
EST027457,Estudiante 27457,Ingeniería Industrial,San Miguel,7.09
EST027458,Estudiante 27458,Arquitectura,Santa Ana,7.49
EST027459,Estudiante 27459,Ingeniería Industrial,Sonsonate,8.9
EST027460,Estudiante 27460,Administración,La Libertad,8.98
EST027461,Estudiante 27461,Ingeniería Industrial,Sonsonate,9.59
EST027462,Estudiante 27462,Ingeniería Industrial,Sonsonate,5.72
EST027463,Estudiante 27463,Ingeniería en Sistemas,San Salvador,9.3
EST027464,Estudiante 27464,Ingeniería Industrial,San Miguel,8.48
EST027465,Estudiante 27465,Ingeniería en Sistemas,La Libertad,5.71
EST027466,Estudiante 27466,Ingeniería en Sistemas,San Miguel,5.13
EST027467,Estudiante 27467,Ingeniería Industrial,Santa Ana,9.2
EST027468,Estudiante 27468,Administración,San Salvador,9.82
EST027469,Estudiante 27469,Ingeniería Industrial,San Salvador,5.32
EST027470,Estudiante 27470,Contaduría,San Salvador,6.53
EST027471,Estudiante 27471,Ingeniería Industrial,Sonsonate,9.23
EST027472,Estudiante 27472,Arquitectura,Sonsonate,7.48
EST027473,Estudiante 27473,Arquitectura,Santa Ana,7.0
EST027474,Estudiante 27474,Ingeniería Industrial,San Salvador,8.81
EST027475,Estudiante 27475,Ingeniería en Sistemas,San Salvador,9.7
EST027476,Estudiante 27476,Contaduría,San Salvador,7.25
EST027477,Estudiante 27477,Arquitectura,San Miguel,7.16
EST027478,Estudiante 27478,Ingeniería Industrial,Santa Ana,7.81
EST027479,Estudiante 27479,Ingeniería en Sistemas,La Libertad,5.26
EST027480,Estudiante 27480,Contaduría,San Salvador,6.92
EST027481,Estudiante 27481,Ingeniería en Sistemas,San Salvador,6.09
EST027482,Estudiante 27482,Contaduría,La Libertad,9.37
EST027483,Estudiante 27483,Arquitectura,Santa Ana,7.3
EST027484,Estudiante 27484,Contaduría,Santa Ana,9.19
EST027485,Estudiante 27485,Arquitectura,Sonsonate,8.93
EST027486,Estudiante 27486,Contaduría,San Salvador,7.59
EST027487,Estudiante 27487,Administración,Sonsonate,7.83
EST027488,Estudiante 27488,Ingeniería Industrial,San Salvador,9.3
EST027489,Estudiante 27489,Arquitectura,San Salvador,7.22
EST027490,Estudiante 27490,Arquitectura,San Salvador,5.32
EST027491,Estudiante 27491,Ingeniería Industrial,Sonsonate,7.83
EST027492,Estudiante 27492,Ingeniería Industrial,San Miguel,8.77
EST027493,Estudiante 27493,Administración,San Miguel,6.74
EST027494,Estudiante 27494,Administración,San Salvador,7.11
EST027495,Estudiante 27495,Administración,La Libertad,6.17
EST027496,Estudiante 27496,Ingeniería en Sistemas,La Libertad,8.86
EST027497,Estudiante 27497,Arquitectura,La Libertad,7.29
EST027498,Estudiante 27498,Administración,Sonsonate,7.72
EST027499,Estudiante 27499,Contaduría,Sonsonate,7.19
EST027500,Estudiante 27500,Contaduría,Sonsonate,8.5
EST027501,Estudiante 27501,Ingeniería en Sistemas,Sonsonate,5.94
EST027502,Estudiante 27502,Administración,Sonsonate,9.27
EST027503,Estudiante 27503,Ingeniería Industrial,Santa Ana,7.72
EST027504,Estudiante 27504,Arquitectura,Sonsonate,5.61
EST027505,Estudiante 27505,Ingeniería en Sistemas,San Salvador,8.99
EST027506,Estudiante 27506,Contaduría,La Libertad,6.23
EST027507,Estudiante 27507,Arquitectura,Sonsonate,6.28
EST027508,Estudiante 27508,Arquitectura,San Miguel,7.28
EST027509,Estudiante 27509,Ingeniería Industrial,Sonsonate,8.13
EST027510,Estudiante 27510,Administración,Sonsonate,6.51
EST027511,Estudiante 27511,Administración,Santa Ana,7.73
EST027512,Estudiante 27512,Ingeniería Industrial,San Salvador,7.22
EST027513,Estudiante 27513,Ingeniería Industrial,San Salvador,6.83
EST027514,Estudiante 27514,Contaduría,San Miguel,5.29
EST027515,Estudiante 27515,Ingeniería Industrial,La Libertad,5.37
EST027516,Estudiante 27516,Arquitectura,Santa Ana,7.49
EST027517,Estudiante 27517,Ingeniería Industrial,Sonsonate,6.67
EST027518,Estudiante 27518,Ingeniería Industrial,Sonsonate,5.28
EST027519,Estudiante 27519,Contaduría,San Miguel,9.54
EST027520,Estudiante 27520,Arquitectura,Santa Ana,5.39
EST027521,Estudiante 27521,Contaduría,San Miguel,8.28
EST027522,Estudiante 27522,Administración,La Libertad,6.88
EST027523,Estudiante 27523,Arquitectura,San Miguel,7.98
EST027524,Estudiante 27524,Arquitectura,La Libertad,5.16
EST027525,Estudiante 27525,Arquitectura,Santa Ana,9.79
EST027526,Estudiante 27526,Arquitectura,San Miguel,5.03
EST027527,Estudiante 27527,Administración,La Libertad,7.48
EST027528,Estudiante 27528,Ingeniería Industrial,Sonsonate,5.87
EST027529,Estudiante 27529,Administración,La Libertad,9.35
EST027530,Estudiante 27530,Ingeniería en Sistemas,San Salvador,9.22
EST027531,Estudiante 27531,Contaduría,La Libertad,8.92
EST027532,Estudiante 27532,Ingeniería en Sistemas,San Miguel,8.68
EST027533,Estudiante 27533,Arquitectura,Sonsonate,5.58
EST027534,Estudiante 27534,Arquitectura,Santa Ana,5.85
EST027535,Estudiante 27535,Contaduría,La Libertad,8.01
EST027536,Estudiante 27536,Ingeniería en Sistemas,San Miguel,5.3
EST027537,Estudiante 27537,Ingeniería Industrial,Santa Ana,5.11
EST027538,Estudiante 27538,Ingeniería Industrial,Sonsonate,9.26
EST027539,Estudiante 27539,Contaduría,Santa Ana,7.72
EST027540,Estudiante 27540,Contaduría,Sonsonate,9.37
EST027541,Estudiante 27541,Administración,San Salvador,9.06
EST027542,Estudiante 27542,Ingeniería en Sistemas,Sonsonate,6.72
EST027543,Estudiante 27543,Administración,San Salvador,5.08
EST027544,Estudiante 27544,Contaduría,La Libertad,8.62
EST027545,Estudiante 27545,Contaduría,Santa Ana,9.82
EST027546,Estudiante 27546,Ingeniería en Sistemas,Santa Ana,7.2
EST027547,Estudiante 27547,Ingeniería Industrial,San Miguel,8.36
EST027548,Estudiante 27548,Contaduría,San Miguel,5.99
EST027549,Estudiante 27549,Contaduría,San Salvador,8.21
EST027550,Estudiante 27550,Ingeniería en Sistemas,Sonsonate,9.14
EST027551,Estudiante 27551,Arquitectura,Santa Ana,8.3
EST027552,Estudiante 27552,Ingeniería en Sistemas,San Salvador,5.83
EST027553,Estudiante 27553,Arquitectura,Santa Ana,6.68
EST027554,Estudiante 27554,Arquitectura,La Libertad,6.92
EST027555,Estudiante 27555,Administración,Santa Ana,8.55
EST027556,Estudiante 27556,Contaduría,San Miguel,7.28
EST027557,Estudiante 27557,Arquitectura,Sonsonate,7.48
EST027558,Estudiante 27558,Contaduría,Sonsonate,6.89
EST027559,Estudiante 27559,Contaduría,San Salvador,8.35
EST027560,Estudiante 27560,Administración,Santa Ana,8.12
EST027561,Estudiante 27561,Ingeniería Industrial,La Libertad,9.94
EST027562,Estudiante 27562,Arquitectura,Sonsonate,6.09
EST027563,Estudiante 27563,Ingeniería en Sistemas,San Miguel,9.23
EST027564,Estudiante 27564,Contaduría,Santa Ana,7.46
EST027565,Estudiante 27565,Ingeniería Industrial,La Libertad,7.71
EST027566,Estudiante 27566,Arquitectura,La Libertad,7.06
EST027567,Estudiante 27567,Contaduría,Santa Ana,5.53
EST027568,Estudiante 27568,Ingeniería en Sistemas,San Miguel,9.23
EST027569,Estudiante 27569,Arquitectura,Sonsonate,9.5
EST027570,Estudiante 27570,Contaduría,San Miguel,9.84
EST027571,Estudiante 27571,Ingeniería en Sistemas,Sonsonate,9.04
EST027572,Estudiante 27572,Contaduría,La Libertad,7.78
EST027573,Estudiante 27573,Administración,Sonsonate,9.79
EST027574,Estudiante 27574,Ingeniería en Sistemas,San Salvador,7.81
EST027575,Estudiante 27575,Ingeniería Industrial,Santa Ana,5.56
EST027576,Estudiante 27576,Arquitectura,Sonsonate,7.95
EST027577,Estudiante 27577,Contaduría,La Libertad,9.05
EST027578,Estudiante 27578,Ingeniería Industrial,Santa Ana,8.45
EST027579,Estudiante 27579,Ingeniería Industrial,La Libertad,8.19
EST027580,Estudiante 27580,Arquitectura,Sonsonate,9.2
EST027581,Estudiante 27581,Ingeniería en Sistemas,Sonsonate,9.74
EST027582,Estudiante 27582,Arquitectura,San Salvador,9.71
EST027583,Estudiante 27583,Administración,San Miguel,6.37
EST027584,Estudiante 27584,Contaduría,San Salvador,8.37
EST027585,Estudiante 27585,Arquitectura,Santa Ana,8.18
EST027586,Estudiante 27586,Contaduría,San Salvador,9.66
EST027587,Estudiante 27587,Ingeniería en Sistemas,La Libertad,6.33
EST027588,Estudiante 27588,Administración,Santa Ana,6.98
EST027589,Estudiante 27589,Arquitectura,Santa Ana,5.29
EST027590,Estudiante 27590,Administración,Sonsonate,5.65
EST027591,Estudiante 27591,Administración,Santa Ana,8.89
EST027592,Estudiante 27592,Ingeniería Industrial,Santa Ana,9.82
EST027593,Estudiante 27593,Contaduría,San Miguel,7.65
EST027594,Estudiante 27594,Ingeniería Industrial,San Miguel,8.98
EST027595,Estudiante 27595,Arquitectura,Sonsonate,5.51
EST027596,Estudiante 27596,Contaduría,La Libertad,7.64
EST027597,Estudiante 27597,Administración,San Salvador,8.95
EST027598,Estudiante 27598,Arquitectura,Sonsonate,9.44
EST027599,Estudiante 27599,Contaduría,Santa Ana,9.67
EST027600,Estudiante 27600,Ingeniería Industrial,Sonsonate,6.51
EST027601,Estudiante 27601,Administración,La Libertad,5.9
EST027602,Estudiante 27602,Contaduría,San Salvador,5.15
EST027603,Estudiante 27603,Ingeniería Industrial,San Miguel,9.56
EST027604,Estudiante 27604,Arquitectura,Santa Ana,9.53
